file_moi,file_goc,patient_id,phuong_phap,seed,tham_so
Aug_0000_mix_P10AsthmaIE_49.wav,P10AsthmaIE_49.wav,P10,mix,42,noise_file=quat_phim_021.wav
Aug_0001_shift_P10AsthmaIU_46.wav,P10AsthmaIU_46.wav,P10,shift,43,silence_file=im_lang_002.wav
Aug_0002_white_P10AsthmaIU_50.wav,P10AsthmaIU_50.wav,P10,white,44,noise_level=0.001
Aug_0003_stretch_P10AsthmaRL_47.wav,P10AsthmaRL_47.wav,P10,stretch,45,rate_range=0.8-1.2
Aug_0004_pitch_P10AsthmaRS_48.wav,P10AsthmaRS_48.wav,P10,pitch,46,n_steps_range=-0.5..0.5
Aug_0005_mix_P12WheezingIE_57.wav,P12WheezingIE_57.wav,P12,mix,47,noise_file=postcard_045.wav
Aug_0006_shift_P12WheezingIU_58.wav,P12WheezingIU_58.wav,P12,shift,48,silence_file=im_lang_035.wav
Aug_0007_white_P12WheezingRL_59.wav,P12WheezingRL_59.wav,P12,white,49,noise_level=0.001
Aug_0008_stretch_P12WheezingRS_56.wav,P12WheezingRS_56.wav,P12,stretch,50,rate_range=0.8-1.2
Aug_0009_pitch_P12WheezingRS_60.wav,P12WheezingRS_60.wav,P12,pitch,51,n_steps_range=-0.5..0.5
Aug_0010_mix_P13WheezingIE_61.wav,P13WheezingIE_61.wav,P13,mix,52,noise_file=postcard_034.wav
Aug_0011_shift_P13WheezingIE_65.wav,P13WheezingIE_65.wav,P13,shift,53,silence_file=im_lang_039.wav
Aug_0012_white_P13WheezingIU_62.wav,P13WheezingIU_62.wav,P13,white,54,noise_level=0.001
Aug_0013_stretch_P13WheezingRL_63.wav,P13WheezingRL_63.wav,P13,stretch,55,rate_range=0.8-1.2
Aug_0014_pitch_P13WheezingRS_64.wav,P13WheezingRS_64.wav,P13,pitch,56,n_steps_range=-0.5..0.5
Aug_0015_mix_P14WheezingIE_69.wav,P14WheezingIE_69.wav,P14,mix,57,noise_file=postcard_005.wav
Aug_0016_shift_P14WheezingIU_66.wav,P14WheezingIU_66.wav,P14,shift,58,silence_file=im_lang_037.wav
Aug_0017_white_P14WheezingIU_70.wav,P14WheezingIU_70.wav,P14,white,59,noise_level=0.001
Aug_0018_stretch_P14WheezingRL_67.wav,P14WheezingRL_67.wav,P14,stretch,60,rate_range=0.8-1.2
Aug_0019_pitch_P14WheezingRS_68.wav,P14WheezingRS_68.wav,P14,pitch,61,n_steps_range=-0.5..0.5
Aug_0020_mix_P15WheezingIE_73.wav,P15WheezingIE_73.wav,P15,mix,62,noise_file=quat_phim_058.wav
Aug_0021_shift_P15WheezingIU_74.wav,P15WheezingIU_74.wav,P15,shift,63,silence_file=im_lang_028.wav
Aug_0022_white_P15WheezingRL_71.wav,P15WheezingRL_71.wav,P15,white,64,noise_level=0.001
Aug_0023_stretch_P15WheezingRL_75.wav,P15WheezingRL_75.wav,P15,stretch,65,rate_range=0.8-1.2
Aug_0024_pitch_P15WheezingRS_72.wav,P15WheezingRS_72.wav,P15,pitch,66,n_steps_range=-0.5..0.5
Aug_0025_mix_P19WheezingIE_93.wav,P19WheezingIE_93.wav,P19,mix,67,noise_file=postcard_009.wav
Aug_0026_shift_P19WheezingIU_94.wav,P19WheezingIU_94.wav,P19,shift,68,silence_file=im_lang_047.wav
Aug_0027_white_P19WheezingRL_91.wav,P19WheezingRL_91.wav,P19,white,69,noise_level=0.001
Aug_0028_stretch_P19WheezingRL_95.wav,P19WheezingRL_95.wav,P19,stretch,70,rate_range=0.8-1.2
Aug_0029_pitch_P19WheezingRS_92.wav,P19WheezingRS_92.wav,P19,pitch,71,n_steps_range=-0.5..0.5
Aug_0030_mix_P1AsthmaIE_1.wav,P1AsthmaIE_1.wav,P1,mix,72,noise_file=postcard_009.wav
Aug_0031_shift_P1AsthmaIE_5.wav,P1AsthmaIE_5.wav,P1,shift,73,silence_file=im_lang_017.wav
Aug_0032_white_P1AsthmaIU_2.wav,P1AsthmaIU_2.wav,P1,white,74,noise_level=0.001
Aug_0033_stretch_P1AsthmaRL_3.wav,P1AsthmaRL_3.wav,P1,stretch,75,rate_range=0.8-1.2
Aug_0034_pitch_P1AsthmaRS_4.wav,P1AsthmaRS_4.wav,P1,pitch,76,n_steps_range=-0.5..0.5
Aug_0035_mix_P20WheezingIE_97.wav,P20WheezingIE_97.wav,P20,mix,77,noise_file=quat_phim_042.wav
Aug_0036_shift_P20WheezingIU_98.wav,P20WheezingIU_98.wav,P20,shift,78,silence_file=im_lang_052.wav
Aug_0037_white_P20WheezingRL_99.wav,P20WheezingRL_99.wav,P20,white,79,noise_level=0.001
Aug_0038_stretch_P20WheezingRS_100.wav,P20WheezingRS_100.wav,P20,stretch,80,rate_range=0.8-1.2
Aug_0039_pitch_P20WheezingRS_96.wav,P20WheezingRS_96.wav,P20,pitch,81,n_steps_range=-0.5..0.5
Aug_0040_mix_P21WheezingIE_101.wav,P21WheezingIE_101.wav,P21,mix,82,noise_file=postcard_018.wav
Aug_0041_shift_P21WheezingIE_105.wav,P21WheezingIE_105.wav,P21,shift,83,silence_file=im_lang_031.wav
Aug_0042_white_P21WheezingIU_102.wav,P21WheezingIU_102.wav,P21,white,84,noise_level=0.001
Aug_0043_stretch_P21WheezingRL_103.wav,P21WheezingRL_103.wav,P21,stretch,85,rate_range=0.8-1.2
